,name,party,state,bill,result
671,Peters,D,MI,7,0.0
672,Portman,R,OH,7,1.0
673,Reed,D,RI,7,0.0
674,Reid,D,NV,7,0.5
675,Risch,R,ID,7,1.0
676,Roberts,R,KS,7,1.0
677,Rounds,R,SD,7,1.0
678,Rubio,R,FL,7,1.0
679,Sanders,I,VT,7,0.0
680,Sasse,R,NE,7,1.0
681,Schatz,D,HI,7,0.0
682,Schumer,D,NY,7,0.0
683,Scott,R,SC,7,1.0
684,Sessions,R,AL,7,1.0
685,Shaheen,D,NH,7,0.0
686,Shelby,R,AL,7,1.0
687,Stabenow,D,MI,7,0.0
688,Sullivan,R,AK,7,1.0
689,Tester,D,MT,7,0.0
690,Thune,R,SD,7,1.0
691,Tillis,R,NC,7,1.0
692,Toomey,R,PA,7,1.0
693,Udall,D,NM,7,0.0
694,Vitter,R,LA,7,1.0
695,Warner,D,VA,7,0.0
696,Warren,D,MA,7,0.0
697,Whitehouse,D,RI,7,0.0
698,Wicker,R,MS,7,1.0
699,Wyden,D,OR,7,0.0
700,Alexander,R,TN,8,1.0
701,Ayotte,R,NH,8,1.0
702,Baldwin,D,WI,8,1.0
703,Barrasso,R,WY,8,1.0
704,Bennet,D,CO,8,1.0
705,Blumenthal,D,CT,8,1.0
706,Blunt,R,MO,8,1.0
707,Booker,D,NJ,8,1.0
708,Boozman,R,AR,8,1.0
709,Boxer,D,CA,8,1.0
710,Brown,D,OH,8,1.0
711,Burr,R,NC,8,1.0
712,Cantwell,D,WA,8,1.0
713,Capito,R,WV,8,1.0
714,Cardin,D,MD,8,1.0
715,Carper,D,DE,8,1.0
716,Casey,D,PA,8,1.0
717,Cassidy,R,LA,8,1.0
718,Coats,R,IN,8,1.0
719,Cochran,R,MS,8,1.0
720,Collins,R,ME,8,1.0
721,Coons,D,DE,8,1.0
722,Corker,R,TN,8,1.0
723,Cornyn,R,TX,8,1.0
724,Cotton,R,AR,8,1.0
725,Crapo,R,ID,8,1.0
726,Cruz,R,TX,8,1.0
727,Daines,R,MT,8,1.0
728,Donnelly,D,IN,8,1.0
729,Durbin,D,IL,8,1.0
730,Enzi,R,WY,8,1.0
731,Ernst,R,IA,8,1.0
732,Feinstein,D,CA,8,1.0
733,Fischer,R,NE,8,1.0
734,Flake,R,AZ,8,1.0
735,Franken,D,MN,8,1.0
736,Gardner,R,CO,8,1.0
737,Gillibrand,D,NY,8,1.0
